Title of debate,Date,Members,Classification,Year
Emission due to Household Cooking,3/13/2023,Brijendra SinghJagannath Sarkar,Pollution,2023
Conservation and Development of Forests,3/13/2023,Ganesan SelvamAmol Ramsing KolheC.N. AnnaduraiDhanush M. KumarDNV Senthilkumar S.Kuldeep Rai SharmaManjulata MandalSubhash Ramrao BhamreSunil Dattatray TatkareSupriya Sule,Forestry and plantation,2023
Review of Elephant Corridors,3/13/2023,Bidyut Baran MahatoPrataprao Ganpatrao JadhavDhairyasheel S. ManeSanjay Sadashivrao MandlikShrirang Appa BarneSudheer Gupta,Animal and wildlife,2023
Pollution in Mining Areas,3/13/2023,Mahesh Sahoo,Pollution,2023
Deaths/Injuries due to Monkey Bites,3/13/2023,Rajkumar Chahar,Animal and wildlife,2023
National Clean Air Programme,3/13/2023,Vinod ChavdaArun SaoRamya HaridasSudhakar Tukaram Shrangare,Legislation/plans/schemes,2023
Fencing of Wildlife Sanctuaries,3/13/2023,K. MuraleedharanRaju Bista,Animal and wildlife,2023
Central Pollution Control Board,3/13/2023,Gurjeet Singh Aujla,Legislation/plans/schemes,2023
Effects of Climate Change on Crops,3/13/2023,Deepak (Dev) AdhikariSaumitra KhanRavi Kishan Shukla,Climate change,2023
Most Polluted Cities/Towns,3/13/2023,Bheemrao Baswanthrao PatilBharati Dhirubhai ShiyalSanjay BhatiaVivek Narayan Shejwalkar,Pollution,2023
National River Conservation Programme,3/13/2023,Pratap Chandra SarangiP.P. Chaudhary,Legislation/plans/schemes,2023
Setting up of Zoo,3/13/2023,Ganesh Singh,Animal and wildlife,2023
Air Pollution,3/13/2023,Krupal Balaji TumaneBhavana Gawali (Patil),Pollution,2023
Cross Dependency Initiative,3/13/2023,Ravneet SinghJadon Chandra SenKeshari Devi PatelSanghamitra Maurya,Legislation/plans/schemes,2023
Plastic Pollution,3/13/2023,Pradeep Kumar SinghParbatbhai Savabhai PatelPocha Brahmananda Reddy,Pollution,2023
Green India Mission,3/13/2023,Dhal Singh Bisen,Legislation/plans/schemes,2023
Environment Impact Assessment Garden City of Bengaluru,3/13/2023,Komati Reddy Venkat ReddySrinivas Reddy ManneY. S. Avinash Reddy,Legislation/plans/schemes,2023
Lifestyle for Environment,3/13/2023,Kotha Prabhakar Reddy,Legislation/plans/schemes,2023
Coastal Land Erosion in Kerala,2/13/2023,Shashi Tharoor,Coastal erosion,2023
Performance-based Grants,2/13/2023,Kirit Premjibhai Solanki,Legislation/plans/schemes,2023
Indigenous Air Unique Quality Monitoring Photonic System,2/13/2023,Gaurav Gogoi,Legislation/plans/schemes,2023
Most Polluted Cities/Towns,2/13/2023,Hibi Eden,Pollution,2023
Study/Survey regarding Air Pollution in Rural Areas,2/13/2023,Sunita Duggal,Pollution,2023
Illegal Forest Cutting,2/13/2023,Rajendra Dhedya GavitM. Selvaraj,Forestry and plantation,2023
Closure of Coal-powered Boilers,2/13/2023,Sanjay Bhatia,pollution,2023
Air Pollution in Rural Areas,2/13/2023,Ramdas Chandrabhanji Tadas,pollution,2023
Tree Plantation,2/13/2023,Ratansinh Magansinh RathodHasmukhbhai Somabhai PatelRajendra Agrawal,Forestry and plantation,2023
State Disaster Management,2/13/2023,Abdul Khaleque,Disasters,2023
Beautification of Beaches,2/13/2023,Pinaki Misra,sea erosion,2023
Global Budget Conference,2/13/2023,Dhal Singh Bisen,Legislation/plans/schemes,2023
Global Methane Pledge,2/13/2023,Thalikkottai Rajuthevar Baalu,climate negotiations,2023
Centrally Sponsored Environment Projects,2/13/2023,Beesetti Venkata Satyavathi,Legislation/plans/schemes,2023
Plastic Waste Management Centres (PWMCs),2/13/2023,Magunta Sreenivasulu ReddyGirish Chandra,pollution,2023
Plastic Waste Management,2/13/2023,Dushyant Singh,pollution,2023
Climate Change Effects,2/13/2023,Ashok Mahadeorao NeteJaswantsinh Sumanbhai Bhabhor,Climate change,2023
Pollution from Old Vehicles,2/13/2023,Kinjarapu Ram Mohan Naidu,pollution,2023
Objective of NCAP,2/13/2023,Mahendra Singh Solanky,Legislation/plans/schemes,2023
Waste generated from Paddy Plants,2/13/2023,Manoj Kishorbhai KotakMohammad JawedRaksha Nikhil Khadse,pollution,2023
Construction of High Rise Buildings near National Park/Sanctuary,2/13/2023,Jayanta Kumar Roy,Animal and wildlife,2023
Pollution Caused by Industries,2/13/2023,Ashok Kumar Rawat,pollution,2023
Ecological Sensitive Zones in the Himalayas,2/13/2023,Ritesh Pandey,Legislation/plans/schemes,2023
National Parks/Sanctuaries,2/13/2023,Girish Chandra,Animal and wildlife,2023
Guidelines for Crematoriums,02/06/23,Ramapati Ram TripathiSangamlal Kadedin Gupta,Legislation/plans/schemes,2023
Dust Mitigation Measures,02/06/23,Locket ChatterjeeSunil Kumar Pintu,Legislation/plans/schemes,2023
Plastic Pollution,02/06/23,Pritam Gopinath MundeRahul Ramesh Shewale,Pollution,2023
Compliance of CAQM Decisions,02/06/23,Gaurav Gogoi,Legislation/plans/schemes,2023
Special Scheme for Displacement of Villages,02/06/23,Uday Pratap Singh,Disasters,2023
"Forest Conservation Rules, 2022",02/06/23,Pradyut Bordoloi,Forestry and plantation,2023
Genetic Inbreeding in Tiger Sub-Populations,02/06/23,Bidyut Baran MahatoDushyant SinghPrataprao JadhavSambhajirao Mane DhairyasheelSanjay Sadashivrao MandlikShrirang Appa BarneSudheer Gupta,Animal and wildlife,2023
National Lake Conservation Plan,02/06/23,Mahabali Singh,Legislation/plans/schemes,2023
Municipal Waste Treatment,02/06/23,S. Jothimani,Pollution,2023
State Coastal Zone Management Authority,02/06/23,Hibi Eden,Legislation/plans/schemes,2023
Demarcation of Buffer Zones,02/06/23,M. K. RaghavanDean KuriakoseN.K. PremachandranSuresh Kodikunnil,Legislation/plans/schemes,2023
DNA Database of Domesticated Elephants,02/06/23,Ranjanben Dhananjay Bhatt,Animal and wildlife,2023
"Reusable, Recyclable or Compostable Packaging",02/06/23,S.R. Parthiban,Legislation/plans/schemes,2023
Inspection of Dying Units,02/06/23,A.K.P. Chinraj,violation,2023
Research on CNG,02/06/23,Rajendra Dhedya Gavit,Legislation/plans/schemes,2023
"Battery Waste Management Rules, 2022",02/06/23,Brijendra SinghJagannath SarkarSatyadev PachauriSunita Duggal,Legislation/plans/schemes,2023
Pollution Control Research Institute,02/06/23,Arun Kumar Sagar,Legislation/plans/schemes,2023
Green Climate Fund,02/06/23,Kirit Premjibhai Solanki,climate negotiations,2023
National Clean Air Programme,02/06/23,Kotha Prabhakar ReddyGautham Sigamani Pon,Legislation/plans/schemes,2023
Promotion of Forestry on Fallow Land,02/06/23,Parvesh Sahib Singh,Forestry and plantation,2023
Land Subsidence in Joshimath,02/06/23,Manoj Kishorbhai KotakAbdul KhalequeDeepak (Dev) AdhikariDeepak BaijK. SubbarayanM. K. RaghavanRaksha Nikhil KhadseSushil Kumar Singh,Disasters,2023
Wild Elephant Attack,02/06/23,Prajwal Revanna,Animal and wildlife,2023
Funds allocated to Non-attainment City under NCAP,02/06/23,Hasnain Masoodi,Legislation/plans/schemes,2023
Displacement and Rehabilitation of Villages,02/06/23,Guman Singh DamorKumbakudi Sudhakaran,Disasters,2023
Replacement of Diesel based Generators,02/06/23,P. Ravindhranath,Legislation/plans/schemes,2023
Relocation of Tigers,02/06/23,Anto AntonyRamya Haridas,Animal and wildlife,2023
Emission of Green House Gases,02/06/23,Ramdas Chandrabhanji Tadas,pollution,2023
Meetings held by CAQM,02/06/23,Su Thirunavukkarasar,Legislation/plans/schemes,2023
Van Gram Scheme,02/06/23,Santosh Pandey,Legislation/plans/schemes,2023
E-Waste Management,02/06/23,Jugal Kishore SharmaGeeta KoraParbatbhai Savabhai PatelPradeep Kumar SinghRiti Pathak,Legislation/plans/schemes,2023
Non-Permanent Structures at Tourist Destinations,02/06/23,Gowdar Mallikarjunappa Siddeshwara,Legislation/plans/schemes,2023
Forest Cover,02/06/23,Ashok Kumar Rawat,Forestry and plantation,2023
Increasing Forest Capacity for Wildlife Safety and Ecological Balance,02/06/23,Arvind Kumar SharmaArjunlal MeenaBharatiben Dhirubhai ShyalRamesh Chander Kaushik,Forestry and plantation,2023
Ban on Single Use Plastic,02/06/23,Beesetti Venkata SatyavathiAmar SinghBheemrao Baswanthrao PatilKotagiri SridharPocha Brahmananda Reddy,,2023
Funds Received/Utilised to Fight Climate Change,02/06/23,Sarmistha Sethi,,2023
Steps to prevent Erosion in Coastal Areas,02/06/23,S. RamalingamDulal Chandra Goswami,,2023
Inspection of Industrial Sites by CAQM,02/06/23,Brijbhushan Sharan SinghPratap Chandra SarangiRamapati Ram TripathiSangamlal Kadedin Gupta,,2023
Monitoring of Dust Mitigation Measures,12/19/2022,Kotha Prabhakar Reddy,,2022
E-waste Management,12/19/2022,Shivkumar Chanabasappa UdasiN.K. PremachandranNalin Kumar Kateel,,2022
Elephant Menace,12/19/2022,Sanjay Seth,,2022
National Conference of Environment Minister,12/19/2022,V. Kalanidhi,,2022
Study on Impact of Climate Change,12/19/2022,Manoj RajoriaBalak Nath,,2022
Promotion of Forestry,12/19/2022,Parvesh Sahib Singh,,2022
Amendment in EPA,12/19/2022,Vijayakumar (alias) Vijay Vasanth,,2022
Plantation of Trees in Villages,12/19/2022,Gyaneshwar PatilChandra Prakash ChoudharyNayab Singh,,2022
Most Polluted Cities,12/19/2022,Jual OramSunil Kumar,,2022
NCAP,12/19/2022,Abdul KhalequeV. Kalanidhi,,2022
Standard Practices for Air Pollution Emergencies,12/19/2022,V. KalanidhiBrijbhushan Sharan SinghPradyut BordoloiPratap Chandra SarangiRamapati Ram Tripathi,,2022
Plantation of New Saplings,12/19/2022,Ramdas Chandrabhanji Tadas,,2022
Ban on Generator,12/19/2022,Ranjanben Dhananjay Bhatt,,2022
United Nation s Conference of Parties,12/19/2022,P.R. NatarajanK. Subbarayan,,2022
Pollution by Green Crackers,12/19/2022,Vishnu Dayal Ram,,2022
Forest Fires,12/19/2022,Adala Prabhakara Reddy,,2022
Translocation of Asiatic Lions,12/19/2022,Doddaalahalli Kempegowda Suresh,,2022
Climate Change Performance Index,12/19/2022,Sudheer GuptaBidyut Baran MahatoPrataprao JadhavShrirang Appa Barne,,2022
Parity in Emission Standards,12/19/2022,Chandra Sekhar SahuGirish Bhalchandra BapatPritam Gopinath MundeRahul Ramesh Shewale,,2022
Helpline for Immediate Response,12/19/2022,Asaduddin Owaisi,,2022
Circular Economy,12/19/2022,Kanimozhi Karunanidhi,,2022
Emission Inventory Report,12/19/2022,Sangamlal Kadedin Gupta,,2022
Familial Forestry,12/19/2022,Sangeeta Kumari Singh Deo,,2022
Funds for Project Tiger,12/19/2022,Pocha Brahmananda Reddy,,2022
Low Conviction Rate in Tiger Trafficking,12/19/2022,P. C. Mohan,,2022
Elephant Deaths,12/19/2022,Adhir Ranjan Chowdhury,,2022
National Wetland Inventory and Assessment,12/19/2022,Gaurav Gogoi,,2022
Black Carbon,12/19/2022,Vinod Chavda,,2022
Conservation of Forests,12/19/2022,Dhal Singh Bisen,,2022
Van Gram Vikas Yojana,12/19/2022,Omprakash Bhupalsinh alias Pawan RajenimbalkarKalaben Mohanbhai DelkarSanjay Haribhau JadhavVinayak Bhaurao Raut,,2022
No-Development Zones,12/19/2022,Pinaki Misra,,2022
Task Force for Man-Animal Conflict,12/19/2022,Prajwal Revanna,,2022
Plastic Recycling Targets,12/19/2022,Debasree Chaudhuri,,2022
Galathea Bay Wildlife Sanctuary,12/19/2022,Ritesh Pandey,,2022
Green Gross Domestic Product,12/19/2022,Mohammad JawedDoddaalahalli Kempegowda SureshK. Muraleedharan,,2022
Elephant Reserves,12/19/2022,Anubhav Mohanty,,2022
Increase in Forest Cover,12/12/22,Umesh G. JadhavShrikant Eknath Shinde,,2022
Ecomark Scheme,12/12/22,Pinaki Misra,,2022
Committee to Inspect Textile Units,12/12/22,A.K.P. Chinraj,,2022
Ban on Single Use Plastics,12/12/22,Sanganna Amarappa KaradiUmesh G. Jadhav,,2022
Public Hearing on Environmental Issues,12/12/22,Chandrani Murmu,,2022
Air Pollution caused by Vehicles,12/12/22,Chinta Anuradha,,2022
Stubble Burning,12/12/22,Rajyavardhan Singh RathoreAmol Ramsing KolheC.N. AnnaduraiDhanush M KumarDNV Senthilkumar. S.Gajanan Chandrakant KirtikarKuldeep Rai SharmaManjulata MandalSubhash Ramrao BhamreSunil Dattatray TatkareSupriya Sadanand SuleVijayakumar (alias) Vijay Vasanth,,2022
Monitoring of NCAP,12/12/22,Satyadev PachauriT. Sumathy (a) Thamizhachi ThangapandianShyam Yadav Singh,,2022
Funds allocated for Air Pollution,12/12/22,Bhagirath Chaudhary,,2022
Reward for complying Pollution Norms,12/12/22,Vivek Narayan Shejwalkar,,2022
Jungle Safari Park,12/12/22,Brijendra Singh,,2022
Technology Assessment Cells,12/12/22,Sunita DuggalShyam Yadav Singh,,2022
Plantation on Vacant Plots,12/12/22,Kirit Premjibhai Solanki,,2022
Illegal Sand Mining,12/12/22,P. C. Mohan,,2022
Community-based Solutions to Air Pollution,12/12/22,Pradyut BordoloiFeroze Varun Gandhi,,2022
Ranganthittu Bird Sanctuary,12/12/22,Sumalatha Ambareesh,,2022
Monitoring of Carbon Emission,12/12/22,Aparajita Sarangi,,2022
Man-Animal Conflict,12/12/22,Adoor PrakashK. Muraleedharan,,2022
Activities of EEAT,12/12/22,Poonam (Mahajan) Vajendla RaoGowdar Mallikarjunappa Siddeshwara,,2022
"Amendments in EPA, 1986",12/12/22,M. K. Raghavan,,2022
Measures to Tackle Air Pollution in Delhi/NCR,12/12/22,Devendra (Alias) Bhole Singh SinghRamya Haridas,,2022
Role of SPCB,12/12/22,Hema Malini,,2022
"Plastic Waste Management (Amendment) Bill, 2022",12/12/22,Keshari Devi Patel,,2022
Environmental Clearance to Central Vista Projects,12/12/22,Uttam Kumar Nalamada Reddy,,2022
Ocean Pollution,12/12/22,E. T. Mohammed Basheer,,2022
Management of e-Waste,12/12/22,Brijbhushan Sharan SinghP.P. ChaudharyRamapati Ram TripathiSangamlal Kadedin GuptaVijay BaghelVivek Narayan Shejwalkar,,2022
Promotion of Afforestation in Private Sector,12/12/22,Dharambir SinghRodmal Nagar,,2022
Wild Elephant Attacks,12/12/22,Prajwal RevannaGomati Sai,,2022
Encroachment on Forest Land,12/12/22,Sudarshan Bhagat,,2022
Miyawaki Method of Afforestation,12/12/22,Vishnu Dutt Sharma,,2022
Commitments made under CoP 26,12/12/22,Bhartruhari Mahtab,,2022
Wild Animal Reserves,12/12/22,Anurag Sharma,,2022
Clearance to Infrastructure Projects in A&N Islands,12/12/22,Kanimozhi KarunanidhiManish Tewari,,2022
Guidelines for Crematoria,12/12/22,Shyam Yadav Singh,,2022
The Great Indian Bustard,12/12/22,Hanuman Beniwal,,2022
Wild Elephants Attack,08/08/22,Prajwal Revanna,,2022
Tiger Conservation Area,08/08/22,Adoor PrakashAnto Antony,,2022
